lab_start_dt,lab_sample_type,lab_id,lab_id_val,lab_processing,lab_incubator_placed,lab_incubator_removed,lab_p_weight,lab_sf_weight,lab_pa_weight,lab_1_group/lab_1_dil_tested,lab_1_group/lab_1_volume,lab_1_ecoli_reading_membrane,lab_1_ecoli_membrane,lab_2_group/lab_2_dil_tested,lab_2_group/lab_2_volume,lab_2_ecoli_reading_membrane,lab_2_ecoli_membrane,lab_3_dilution_performed,lab_3_group/lab_3_dil_tested,lab_3_group/lab_3_volume,lab_3_ecoli_reading_membrane,lab_3_ecoli_membrane,lab_notes,lab_enum,lab_photo,lab_end_dt,col_start_dt,col_end_dt,meta/instanceID,_uuid,_submission_time,_tags,_notes
2019-12-17T15:32:57.000-00:00,10,2001,2001,2019-11-14T16:19:00.000-00:00,2019-11-14T16:40:00.000-00:00,2019-11-15T13:30:00.000-00:00,n/a,101.2,n/a,7,1,3,0,6,1,3,0,0,n/a,n/a,n/a,n/a,n/a,MD,0,2020-01-19T13:02:42.000-00:00,2019-12-17T15:32:57.000-00:00,2020-01-19T13:02:42.000-00:00,uuid:b472520d-1523-46fd-b190-fb6f0d3910ff,b472520d-1523-46fd-b190-fb6f0d3910ff,2019-12-18T08:36:00,,
2019-12-18T08:35:54.000-00:00,10,2002,2002,2019-11-14T16:19:00.000-00:00,2019-11-14T16:40:00.000-00:00,2019-11-15T13:30:00.000-00:00,n/a,135.8,n/a,7,1,3,0,6,1,3,0,0,n/a,n/a,n/a,n/a,n/a,MD,0,2020-01-19T13:05:29.000-00:00,2019-12-18T08:35:54.000-00:00,2020-01-19T13:05:29.000-00:00,uuid:0d05195c-3ca4-41ec-9959-c914dbebff6c,0d05195c-3ca4-41ec-9959-c914dbebff6c,2019-12-18T08:39:27,,
2019-12-18T08:39:21.000-00:00,10,2003,2003,2019-11-14T16:19:00.000-00:00,2019-11-14T16:40:00.000-00:00,2019-11-15T13:30:00.000-00:00,n/a,93.6,n/a,7,1,3,0,6,1,3,0,0,n/a,n/a,n/a,n/a,n/a,MD,0,2020-01-19T13:06:26.000-00:00,2019-12-18T08:39:21.000-00:00,2020-01-19T13:06:26.000-00:00,uuid:1dc1da68-18e6-4e47-982c-f156afa1e468,1dc1da68-18e6-4e47-982c-f156afa1e468,2019-12-18T08:44:31,,
2019-12-18T08:43:35.000-00:00,10,2004,2004,2019-11-14T16:19:00.000-00:00,2019-11-14T16:40:00.000-00:00,2019-11-15T13:30:00.000-00:00,n/a,98.1,n/a,7,1,3,0,6,1,3,0,0,n/a,n/a,n/a,n/a,n/a,MD,0,2020-01-19T13:09:12.000-00:00,2019-12-18T08:43:35.000-00:00,2020-01-19T13:09:12.000-00:00,uuid:4185f070-aa61-4b78-8f6b-acf29f3caa98,4185f070-aa61-4b78-8f6b-acf29f3caa98,2019-12-18T08:46:46,,
2019-12-18T08:46:40.000-00:00,10,2005,2005,2019-11-14T16:19:00.000-00:00,2019-11-14T16:40:00.000-00:00,2019-11-15T13:30:00.000-00:00,n/a,10,n/a,7,1,1,0,6,1,3,0,0,n/a,n/a,n/a,n/a,n/a,MD,0,2019-12-18T08:49:14.000-00:00,2019-12-18T08:46:40.000-00:00,2019-12-18T08:49:14.000-00:00,uuid:7e48e2d9-5e12-4684-8d12-34a851827b01,7e48e2d9-5e12-4684-8d12-34a851827b01,2019-12-18T08:49:20,,
2019-12-18T09:54:43.000-00:00,3,3001,3001,2019-11-14T15:50:00.000-00:00,2019-11-14T16:15:00.000-00:00,2019-11-16T13:20:00.000-00:00,n/a,n/a,n/a,7,100,3,0,6,100,3,0,0,n/a,n/a,n/a,n/a,n/a,MD,0,2019-12-18T10:13:39.000-00:00,2019-12-18T09:54:43.000-00:00,2019-12-18T10:13:39.000-00:00,uuid:834ebe64-5278-4c96-97fc-60f48c63b516,834ebe64-5278-4c96-97fc-60f48c63b516,2019-12-18T10:13:45,,
2019-12-18T10:13:39.000-00:00,3,3002,3002,2019-11-14T15:50:00.000-00:00,2019-11-14T16:15:00.000-00:00,2019-11-16T13:20:00.000-00:00,n/a,n/a,n/a,7,100,3,0,6,100,3,0,0,n/a,n/a,n/a,n/a,n/a,MD,0,2019-12-18T10:16:24.000-00:00,2019-12-18T10:13:39.000-00:00,2019-12-18T10:16:24.000-00:00,uuid:20d000c4-6594-4300-9560-a7cc862dadbf,20d000c4-6594-4300-9560-a7cc862dadbf,2019-12-18T10:16:29,,
2019-12-18T10:16:24.000-00:00,3,3003,3003,2019-11-14T15:50:00.000-00:00,2019-11-14T16:15:00.000-00:00,2019-11-16T13:20:00.000-00:00,n/a,n/a,n/a,7,100,3,0,6,100,3,0,0,n/a,n/a,n/a,n/a,n/a,MD,0,2019-12-18T10:22:08.000-00:00,2019-12-18T10:16:24.000-00:00,2019-12-18T10:22:08.000-00:00,uuid:225b86c5-29ee-4d72-b8b1-ca60f338d9e1,225b86c5-29ee-4d72-b8b1-ca60f338d9e1,2019-12-18T10:22:14,,
2019-12-18T10:22:09.000-00:00,3,3004,3004,2019-11-14T15:50:00.000-00:00,2019-11-14T16:20:00.000-00:00,2019-11-16T13:20:00.000-00:00,n/a,n/a,n/a,7,100,3,0,6,100,3,0,0,n/a,n/a,n/a,n/a,n/a,MD,0,2019-12-18T10:25:55.000-00:00,2019-12-18T10:22:09.000-00:00,2019-12-18T10:25:55.000-00:00,uuid:27b128ab-ad24-4aa4-bc64-504697f40a2b,27b128ab-ad24-4aa4-bc64-504697f40a2b,2019-12-18T10:26:01,,
2019-12-18T10:25:56.000-00:00,3,3005,3005,2019-11-14T15:50:00.000-00:00,2019-11-14T16:15:00.000-00:00,2019-11-16T13:20:00.000-00:00,n/a,n/a,n/a,7,100,3,0,6,100,3,0,0,n/a,n/a,n/a,n/a,n/a,MD,0,2019-12-18T10:29:09.000-00:00,2019-12-18T10:25:56.000-00:00,2019-12-18T10:29:09.000-00:00,uuid:d8a05135-39dd-4656-90d6-4a17ca3edc87,d8a05135-39dd-4656-90d6-4a17ca3edc87,2019-12-18T10:29:14,,
