"deviceid","s_school","s_start","s_coordinates","X_s_coordinates_latitude","X_s_coordinates_longitude","X_s_coordinates_altitude","X_s_coordinates_precision","s_neighborhood","s_1_note","s_rainweek","s_participant_num","s_participant_gender","s_participant_female_obs","s_participant_male_obs","s_participant_female","s_participant_male","s_neighborhood_y","s_neighborhood_n","s_s_c","s_s_c_note","s_s_c_note_2","s_s_c_3","s_s_c_2","s_s_c_1","s_s_c_0","s_s_c_na","s_s_a","s_s_a_note","s_s_a_note_2","s_s_a_3","s_s_a_2","s_s_a_1","s_s_a_0","s_s_a_na","s_d_c","s_d_c_note","s_d_c_note_2","s_d_c_3","s_d_c_2","s_d_c_1","s_d_c_0","s_d_c_na","s_d_a","s_d_a_note","s_d_a_note_2","s_d_a_3","s_d_a_2","s_d_a_1","s_d_a_0","s_d_a_na","s_f_c","s_f_c_note","s_f_c_note_2","s_f_c_3","s_f_c_2","s_f_c_1","s_f_c_0","s_f_c_na","s_f_a","s_f_a_note","s_f_a_note_2","s_f_a_3","s_f_a_2","s_f_a_1","s_f_a_0","s_f_a_na","s_dw_c","s_dw_c_note","s_dw_c_note_2","s_dw_c_3","s_dw_c_2","s_dw_c_1","s_dw_c_0","s_dw_c_na","s_dw_a","s_dw_a_note","s_dw_a_note_2","s_dw_a_3","s_dw_a_2","s_dw_a_1","s_dw_a_0","s_dw_a_na","s_dw_e_wt","s_dw_e_wt_note","s_dw_e_wt_note_2","s_dw_e_wt_1","s_dw_e_wt_0","s_dw_e_wt_na","s_o_c","s_o_c_note","s_o_c_note_2","s_o_c_3","s_o_c_2","s_o_c_1","s_o_c_0","s_o_c_na","s_o_a","s_o_a_note","s_o_a_note_2","s_o_a_3","s_o_a_2","s_o_a_1","s_o_a_0","s_o_a_na","s_bw_c","s_bw_c_note","s_bw_c_note_2","s_bw_c_3","s_bw_c_2","s_bw_c_1","s_bw_c_0","s_bw_c_na","s_bw_a","s_bw_a_note","s_bw_a_note_2","s_bw_a_3","s_bw_a_2","s_bw_a_1","s_bw_a_0","s_bw_a_na","s_p_c","s_p_c_note","s_p_c_note_2","s_p_c_3","s_p_c_2","s_p_c_1","s_p_c_0","s_p_c_na","s_p_a","s_p_a_note","s_p_a_note_2","s_p_a_3","s_p_a_2","s_p_a_1","s_p_a_0","s_p_a_na","s_p_e_note","s_p_e_note_2","s_p_e_2","s_p_e_1","s_p_e_na","s_sf_c","s_sf_c_note","s_sf_c_note_2","s_sf_c_3","s_sf_c_2","s_sf_c_1","s_sf_c_0","s_sf_c_na","s_sf_a","s_sf_a_note","s_sf_a_note_2","s_sf_a_3","s_sf_a_2","s_sf_a_1","s_sf_a_0","s_sf_a_na","s_l_c","s_l_c_note","s_l_c_note_2","s_l_c_3","s_l_c_2","s_l_c_1","s_l_c_0","s_l_c_na","s_l_a","s_l_a_note","s_l_a_note_2","s_l_a_3","s_l_a_2","s_l_a_1","s_l_a_0","s_l_a_na","s_pl_a_th","s_pl_a_th_note","s_pl_a_th_note_2","s_pl_a_th_1","s_pl_a_th_0","s_pl_a_th_na","s_pl_a_tu_note","s_pl_a_tu_1","s_pl_a_tu_0","s_pl_a_tu_na","s_pl_a_tu_nl","s_pl_a_tw_note","s_pl_a_tw_note_2","s_pl_a_tw_1","s_pl_a_tw_0","s_pl_a_tw_na","s_pl_a_tw_nl","s_pl_a_tf_note","s_pl_a_tf_note_2","s_pl_a_tf_1","s_pl_a_tf_0","s_pl_a_tf_na","s_pl_a_tf_nl","s_end","s_participant_female_obs_end","s_participant_male_obs_end","s_notes","s_enum","X__version__","X_id","X_uuid","X_submission_time","X_index","s_odw_a","s_odw_a_note","s_odw_a_3","s_odw_a_2","s_odw_a_1","s_odw_a_0","s_odw_a_na","s_odw_a_other","s_odw_c","s_odw_c_note","s_odw_c_3","s_odw_c_2","s_odw_c_1","s_odw_c_0","s_odw_c_na","s_odw_c_other","s_odw2_a","s_odw2_a_note","s_odw2_a_3","s_odw2_a_2","s_odw2_a_1","s_odw2_a_0","s_odw2_a_na","s_odw2_a_other","s_odw2_c","s_odw2_c_note","s_odw2_c_3","s_odw2_c_2","s_odw2_c_1","s_odw2_c_0","s_odw2_c_na","s_odw2_c_other","s_extra_data","dply_num","s_f_weekly","s_UID","s_id","s_date","s_participant_female.1","s_participant_male.1","neighb_UID","city"
,"Twiza community school","2019-10-11T09:28:00.000+02:00","-15.44210518 28.2836556 1291.0 7.585",-15.44210518,28.2836556,1291,7.585,1,,0,20,2,10,10,10,10,6,14,,,,2,4,9,4,1,,,,11,6,3,0,0,,,,9,5,5,1,0,,,,7,4,3,6,0,,,,10,2,4,3,1,,,,6,4,2,6,2,,,,12,4,4,0,0,,,,11,6,1,1,1,,,,16,4,0,,,,,,,,,,,,,,,,,,,,13,3,0,1,3,,,,19,1,0,0,0,,,,17,1,1,1,0,,,,15,2,2,0,1,,,20,0,0,,,,12,4,1,3,0,,,,14,3,1,2,0,,,,18,2,0,0,0,,,,16,3,0,0,1,,,,9,9,2,,20,0,0,0,,,10,10,0,0,,,2,17,1,0,,10,10,"","Zacharia,Mwewa, Muleya and Chilufya.","",,"be2a6d3d-5d61-408f-9078-661bf0d386aa","2019-10-11T10:40:20",,,,8,2,2,7,1,,,,8,6,3,3,0,,,,4,3,3,8,2,,,,2,2,3,10,3,,1,13,,"13_1000",1000,"2019-10-11",,,1301,"Lusaka"
,"Twiza community school","2019-10-11T09:43:00.000+02:00","-15.44213073 28.283564 1272.0 15.17",-15.44213073,28.283564,1272,15.17,1,,0,20,2,10,10,10,10,3,17,,,,10,1,2,1,6,,,,11,1,5,3,0,,,,9,2,8,1,0,,,,4,3,6,7,0,,,,13,2,5,0,0,,,,9,2,8,1,0,,,,13,4,2,0,0,,,,15,1,1,2,1,,,,14,6,0,,,,,,,,,,,,,,,,,,,,14,0,1,2,3,,,,15,4,1,0,0,,,,18,1,1,0,0,,,,17,1,1,1,0,,,19,1,0,,,,15,4,1,0,0,,,,17,2,0,1,0,,,,19,1,0,0,0,,,,17,2,1,0,0,,,,9,11,0,,20,0,0,0,,,11,9,0,0,,,3,15,1,1,,10,10,"","Zachariah, Muleya, mwewa and chilufya","",,"a91d6aa9-528a-4ade-86fc-d8b393787409","2019-10-12T06:27:32",,,,7,4,2,4,3,,,,11,3,2,3,1,,,,4,3,4,6,3,,,,6,5,1,8,0,,1,13,,"13_1001",1001,"2019-10-11",,,1301,"Lusaka"
,"Chawama Primary School","2019-10-11T08:05:00.000+02:00","-15.462423333333334 28.285525 1280.0 4.9",-15.4624233333333,28.285525,1280,4.9,1,,0,20,2,10,10,10,10,7,13,,,,4,0,1,15,0,,,,4,2,3,11,0,,,,10,3,3,4,0,,,,5,2,2,11,0,,,,15,2,1,2,0,,,,8,1,6,0,0,,,,18,1,0,1,0,,,,16,2,1,1,0,,,,20,0,0,,,,,,,,,,,,,,,,,,,,19,1,0,0,0,,,,17,1,2,0,0,,,,18,1,1,0,0,,,,17,1,1,1,0,,,18,0,2,,,,14,2,3,0,1,,,,12,3,5,0,0,,,,9,3,7,1,0,,,,6,2,10,2,0,,,,17,0,3,,18,1,1,0,,,16,3,1,0,,,6,14,0,0,,10,10,"","Chipo 
Mulemwa
Jenifer","",,"42d6cb0e-0b62-476f-8403-0c85eab36302","2019-10-12T06:31:54",,,,7,2,1,10,0,,,,3,4,2,9,2,,,,1,3,2,14,0,,,,0,3,2,15,0,,1,13,,"13_1002",1002,"2019-10-11",,,1301,"Lusaka"
,"Chawama primary school","2019-10-11T08:04:00.000+02:00","-15.4623785 28.28553241 1289.0 4.5509996",-15.4623785,28.28553241,1289,4.5509996,1,,0,20,2,10,10,10,10,9,11,,,,1,2,2,15,0,,,,2,3,1,14,0,,,,6,3,8,3,0,,,,7,1,4,8,0,,,,7,2,7,4,0,,,,2,1,4,11,2,,,,14,4,2,0,0,,,,14,2,3,1,0,,,,17,2,1,,,,,,,,,,,,,,,,,,,,13,6,1,0,0,,,,19,1,0,0,0,,,,14,3,3,0,0,,,,16,2,1,1,0,,,20,0,0,,,,14,2,4,0,0,,,,10,4,4,2,0,,,,15,3,0,1,1,,,,5,6,6,1,2,,,,9,5,6,,16,1,2,1,,,11,7,2,0,,,10,9,1,0,,10,10,"","Joackim
Champo
Mulemwa","",,"b54f8963-d7c6-4f1b-9823-f4624458e1cd","2019-10-12T06:32:48",,,,3,6,3,8,0,,,,3,5,3,9,0,,,,1,3,0,16,0,,,,1,3,2,13,1,,1,13,,"13_1003",1003,"2019-10-11",,,1301,"Lusaka"
,"Chazanga primary school","2019-10-17T12:46:00.000+02:00","-15.34362974 28.29864202 1227.0 4.5509996",-15.34362974,28.29864202,1227,4.5509996,2,,0,20,2,12,8,12,8,13,7,,,,1,0,4,14,1,,,,1,1,4,14,0,,,,3,3,6,8,0,,,,1,2,8,3,6,,,,1,1,14,3,1,,,,1,3,10,0,6,,,,8,4,1,6,1,,,,9,6,2,1,2,,,,16,1,3,,,,,,,,,,,,,,,,,,,,14,6,0,0,0,,,,12,5,0,3,0,,,,6,8,6,0,0,,,,5,6,7,1,1,,,20,0,0,,,,0,1,10,6,3,,,,1,0,11,5,3,,,,1,6,9,3,1,,,,1,1,10,5,3,,,,17,3,0,,19,0,0,1,,,14,6,0,0,,,0,20,0,0,,12,8,"","Jennifer, Mwewa and Annie","",,"51959a8d-0cf6-4e0e-a82b-60fc7360e84d","2019-10-17T12:55:18",,,,3,7,5,1,4,,,,4,4,7,2,3,,,,0,0,1,14,5,,,,0,0,1,17,2,,1,13,,"13_1004",1004,"2019-10-17",,,1302,"Lusaka"
,"Chazanga Primary","2019-10-17T12:47:00.000+02:00","-15.34369 28.298528333333334 1223.9 4.8",-15.34369,28.2985283333333,1223.9,4.8,2,,0,20,2,13,7,13,7,14,6,,,,0,2,0,18,0,,,,1,0,1,18,0,,,,4,0,6,10,0,,,,1,0,0,15,4,,,,1,11,8,0,0,,,,0,0,10,5,5,,,,19,0,0,0,1,,,,19,1,0,0,0,,,,16,1,3,,,,,,,,,,,,,,,,,,,,11,6,2,0,1,,,,10,9,0,0,1,,,,6,6,7,1,0,,,,4,7,7,1,1,,,20,0,0,,,,4,10,5,1,0,,,,0,0,15,5,0,,,,0,5,9,5,1,,,,1,2,2,7,8,,,,15,5,0,,16,2,0,2,,,13,7,0,0,,,1,18,1,0,,13,7,"","Zack
Chipo
Jenifer
Annie
Mwewa","",,"c05dd2cb-2988-4086-b6e2-c8b2787f1cdb","2019-10-17T13:26:47",,,,1,1,9,5,4,,,,2,3,8,6,1,,,,0,0,0,19,1,,,,0,0,1,18,1,,1,13,,"13_1005",1005,"2019-10-17",,,1302,"Lusaka"
,"Brook academic school","2019-10-17T14:24:00.000+02:00","-15.33398916 28.30945032 1212.0 4.5509996",-15.33398916,28.30945032,1212,4.5509996,2,,0,20,2,10,10,10,10,18,2,,,,0,0,3,17,0,,,,1,0,1,15,3,,,,2,1,11,6,0,,,,0,0,1,17,2,,,,5,3,8,2,2,,,,0,2,9,6,3,,,,7,3,1,8,1,,,,4,3,3,6,4,,,,8,9,3,,,,,,,,,,,,,,,,,,,,12,8,0,0,0,,,,14,5,1,0,0,,,,10,3,5,1,1,,,,9,3,6,0,2,,,19,0,1,,,,1,3,7,7,2,,,,1,4,1,12,2,,,,10,5,3,0,2,,,,5,4,6,2,3,,,,17,3,0,,17,3,0,0,,,11,9,0,0,,,4,16,0,0,,10,10,"","Mulemwa Keron Joackim Muleya chola","",,"1eb30c65-7f0e-4ae8-a69e-3629f92b272a","2019-10-17T14:51:40",,,,11,2,0,4,3,,,,11,3,0,5,1,,,,0,0,0,19,1,,,,0,0,1,17,2,,1,13,,"13_1006",1006,"2019-10-17",,,1302,"Lusaka"
,"Brook","2019-10-17T14:24:00.000+02:00","-15.33417046 28.30943305 1207.0 4.5509996",-15.33417046,28.30943305,1207,4.5509996,2,,0,20,2,10,10,10,10,18,2,,,,5,14,1,0,0,,,,2,0,2,13,3,,,,4,2,8,4,2,,,,0,0,4,11,5,,,,1,5,10,3,1,,,,2,1,2,4,11,,,,7,1,4,5,1,,,,6,4,2,3,5,,,,13,4,3,,,,,,,,,,,,,,,,,,,,12,7,0,0,1,,,,19,1,0,0,0,,,,5,7,8,0,0,,,,6,5,6,0,3,,,19,0,1,,,,5,2,9,3,1,,,,1,2,7,4,5,,,,3,8,9,0,0,,,,2,2,4,2,10,,,,15,5,0,,15,5,0,5,,,11,8,1,0,,,3,17,0,0,,10,10,"","Joackim, Champo, Muleya, Keron, Mulemwa","",,"fc3a41aa-dd77-4b2d-8fd9-1960a240bcc5","2019-10-17T14:52:36",,,,13,2,1,2,2,,,,13,2,2,3,0,,,,0,0,0,17,3,,,,0,0,0,20,0,,1,13,,"13_1007",1007,"2019-10-17",,,1302,"Lusaka"
,"Twalumba primary school group 1","2019-10-28T13:46:00.000+02:00","-15.367813333333334 28.246045000000002 1238.8 4.9",-15.3678133333333,28.246045,1238.8,4.9,3,,0,20,2,10,10,10,10,20,0,,,,0,0,0,20,0,,,,1,0,2,17,0,,,,0,2,4,14,0,,,,0,0,1,17,2,,,,1,1,4,13,1,,,,1,0,1,13,5,,,,13,1,2,2,2,,,,17,0,0,1,2,,,,18,1,1,,,,,,,,,,,,,,,,,,,,9,5,4,1,1,,,,2,9,7,0,2,,,,2,8,9,1,0,,,,8,6,3,0,3,,,18,0,2,,,,4,6,9,1,0,,,,4,2,3,3,8,,,,3,2,8,4,3,,,,0,1,3,5,9,,,,13,7,0,,13,0,0,0,,,13,0,0,0,,,13,0,0,0,,10,10,"","Mwewa, Kawide, Jennifer","",,"45df02e2-992e-4f64-bb26-4c39b32a6a1a","2019-10-28T13:16:46",,,,0,2,0,14,4,,,,2,0,2,15,1,,,,0,0,1,17,2,,,,0,0,2,16,2,,1,13,,"13_1008",1008,"2019-10-28",,,1303,"Lusaka"
,"George Central Primary","2019-10-28T12:53:00.000+02:00","-15.38122 28.241351666666667 1268.4 4.6",-15.38122,28.2413516666667,1268.4,4.6,3,,0,20,2,13,7,13,7,12,8,,,,2,4,4,6,4,,,,5,3,7,3,2,,,,8,4,5,2,1,,,,5,3,4,6,2,,,,10,4,1,2,3,,,,7,5,2,3,3,,,,17,3,0,0,0,,,,19,0,0,0,0,,,,18,2,0,,,,,,,,,,,,,,,,,,,,13,6,1,0,0,,,,16,4,0,0,0,,,,12,7,1,0,0,,,,14,4,2,0,0,,,20,0,0,,,,10,7,2,1,0,,,,7,4,5,4,0,,,,9,8,3,0,0,,,,9,6,3,2,0,,,,15,5,0,,15,0,0,5,,,12,8,0,0,,,14,6,0,0,,13,7,"","Annie
Keron
Champo
Joakim
Muleya","",,"31406c89-af52-42ef-9c2e-fcb96db16380","2019-10-28T13:27:07",,,,2,4,10,2,0,,,,3,5,2,8,2,,,,2,1,3,13,1,,,,2,1,5,12,0,,1,13,,"13_1009",1009,"2019-10-28",,,1303,"Lusaka"
